,Buttonville A,Hamilton A,Kingsville Moe,North Bay A,Orillia,Oshawa WPCP,Ottawa CDA,Sault St Marie A,Sudbury A,Tillonburg WWTP,Trent U,Wiarton A,Windsor A,Wroxeter
1987-01-01,0.0,0.20000000000000018,5.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,6.4,0.0,0.0,1.8,5.2
1987-01-02,1.6,12.100000000000001,1.0,0.0,3.0,5.0,0.0,0.0,-4.440892098500626e-16,4.8,6.0,0.8000000000000003,6.799999999999999,4.440892098500626e-16
1987-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-01-04,0.0,0.0,0.0,0.20000000000000018,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-01-06,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,3.8,2.6,1.0,0.6000000000000001,1.2,0.20000000000000018,0.0,4.440892098500626e-16
1987-01-07,0.8,0.5999999999999999,0.0,0.8000000000000003,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.6,0.0,4.440892098500626e-16
1987-01-08,0.8,0.0,0.0,0.3999999999999999,2.0,0.0,0.5999999999999999,0.0,0.20000000000000018,0.0,0.0,0.20000000000000018,0.0,4.440892098500626e-16
1987-01-09,0.0,0.0,8.0,0.20000000000000018,7.0,0.0,0.3999999999999999,0.0,0.20000000000000018,11.2,2.2,0.0,6.6,10.2
1987-01-10,13.600000000000001,10.900000000000002,5.0,0.6000000000000001,9.0,6.0,4.1,0.20000000000000018,-4.440892098500626e-16,1.0,5.0,10.0,6.799999999999999,5.2
1987-01-11,0.0,0.8999999999999999,0.0,0.3999999999999999,0.0,0.0,1.2,0.0,0.20000000000000018,0.0,4.0,0.0,0.3999999999999999,4.440892098500626e-16
1987-01-12,0.0,0.3999999999999999,0.0,0.8000000000000003,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-01-14,2.0,1.8,4.0,0.0,0.0,5.0,0.20000000000000018,0.0,-4.440892098500626e-16,11.0,2.0,0.0,3.4,3.1
1987-01-15,0.6000000000000001,0.20000000000000018,0.0,0.0,0.0,0.3999999999999999,0.5999999999999999,0.8,0.20000000000000018,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-01-16,0.3999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,6.1,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-01-17,0.0,0.0,3.0,0.0,6.0,2.8,0.0,0.0,1.6,3.0,11.0,0.0,0.20000000000000018,7.6
1987-01-18,9.399999999999999,6.5,1.0,7.6,4.0,6.2,7.200000000000001,1.8,3.4,1.0,3.0,8.4,8.4,2.8
1987-01-19,9.8,12.400000000000002,10.0,0.0,0.0,15.0,0.0,0.6000000000000001,-4.440892098500626e-16,1.6,0.0,0.6000000000000001,15.200000000000001,5.2
1987-01-20,0.8,0.0,0.0,4.8,2.0,2.0,2.0,2.4,1.2,0.0,0.0,2.0,0.0,4.440892098500626e-16
1987-01-21,0.0,0.0,0.0,1.7,0.0,0.0,0.0,1.0,1.2,0.0,1.0,1.1000000000000003,0.0,4.440892098500626e-16
1987-01-22,2.5,1.1,0.0,1.2,2.6,5.0,8.8,6.2,8.5,1.0,0.0,0.8000000000000003,0.3999999999999999,8.800000000000002
1987-01-23,0.20000000000000018,0.5999999999999999,0.0,0.8000000000000003,15.6,0.0,1.4,10.0,2.6,0.0,0.0,6.1,0.20000000000000018,6.0
1987-01-24,0.0,0.0,0.0,0.0,23.0,0.0,0.0,12.3,-4.440892098500626e-16,0.0,0.0,21.3,0.0,2.2
1987-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,-4.440892098500626e-16,0.0,0.0,4.5,0.0,4.440892098500626e-16
1987-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-01-27,0.0,0.0,1.0,1.4,0.0,0.0,0.0,1.2,1.6,0.6000000000000001,0.0,0.0,0.8,4.440892098500626e-16
1987-01-28,0.0,1.0,2.0,3.8,0.0,0.0,0.0,1.3,2.0,0.0,0.0,1.4,0.8,1.8
1987-01-29,0.0,0.20000000000000018,6.6,0.0,3.0,6.0,0.0,0.6000000000000001,-4.440892098500626e-16,2.0,0.0,0.0,5.8,10.2
1987-01-30,9.8,8.3,4.0,4.0,17.0,12.0,8.6,7.4,6.2,4.6,5.0,10.9,4.2,8.000000000000002
1987-01-31,0.8,0.0,0.0,0.3999999999999999,0.0,0.0,0.8,0.0,-4.440892098500626e-16,0.0,0.0,0.6000000000000001,0.0,4.440892098500626e-16
1987-02-01,0.20000000000000018,0.0,0.0,5.799999999999999,1.6,0.0,2.4,4.6,9.0,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-02-02,3.2,1.8,0.0,2.4,3.0,1.6,1.2,1.8,2.6,3.0,3.2,3.8,0.0,2.4
1987-02-03,3.8,1.0,0.0,0.6000000000000001,0.0,0.0,0.0,1.8,0.8,0.0,0.0,4.0,0.3999999999999999,4.440892098500626e-16
1987-02-04,1.1,1.3,0.0,0.3999999999999999,0.0,0.0,0.0,0.8,0.6000000000000001,3.0,0.0,0.6999999999999997,0.0,3.2
1987-02-05,0.0,0.0,0.0,3.2,0.0,0.0,0.3999999999999999,0.0,1.0,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-02-06,0.0,0.0,0.0,5.6,2.0,0.0,3.2,0.20000000000000018,2.8,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-02-07,0.0,0.0,0.0,1.6,3.0,0.0,3.6,0.0,6.6,0.0,0.3999999999999999,0.0,0.0,4.440892098500626e-16
1987-02-08,9.0,4.4,0.20000000000000018,19.0,8.0,6.5,11.0,1.4,18.800000000000004,5.0,12.0,7.0,0.3999999999999999,5.2
1987-02-09,0.0,0.0,0.0,1.2,1.0,0.6000000000000001,0.2999999999999998,0.0,1.2,0.0,0.0,0.8000000000000003,0.0,4.440892098500626e-16
1987-02-10,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.20000000000000018,0.0,1.0,0.0,0.0,4.440892098500626e-16
1987-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,2.6,0.0,0.0,0.0,4.440892098500626e-16
1987-02-12,0.8,0.0,1.0,1.2,0.0,0.0,0.7,3.4,1.0,0.0,1.0,0.3999999999999999,0.0,2.2
1987-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,-4.440892098500626e-16,0.0,0.0,0.0,0.3999999999999999,4.440892098500626e-16
1987-02-14,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,2.9,2.5,4.440892098500626e-16
1987-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.8000000000000003,0.0,4.440892098500626e-16
1987-02-16,0.0,0.5999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-02-22,0.8,0.0,0.0,0.0,2.0,0.0,0.0,0.3999999999999999,-4.440892098500626e-16,0.0,1.0,0.20000000000000018,0.3999999999999999,4.440892098500626e-16
1987-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-02-27,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-02-28,2.0,6.3,9.6,0.0,15.0,13.8,4.3,0.0,-4.440892098500626e-16,12.0,15.3,0.9999999999999998,13.0,5.1
1987-03-01,19.3,13.2,7.0,11.2,17.0,17.8,18.8,11.1,16.4,5.0,10.4,14.2,5.4,8.5
1987-03-02,7.4,1.2,0.0,5.6,3.0,0.0,5.6,7.4,12.8,6.3,1.6,12.7,0.6000000000000001,4.2
1987-03-03,1.4,0.0,5.0,0.3999999999999999,0.0,0.0,0.0,0.3999999999999999,0.3999999999999999,0.0,0.0,0.9999999999999998,0.0,2.2
1987-03-04,0.0,0.0,2.0,0.0,0.0,0.0,0.20000000000000018,0.20000000000000018,-4.440892098500626e-16,0.0,0.0,0.20000000000000018,0.0,4.440892098500626e-16
1987-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,4.8,4.440892098500626e-16
1987-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000000000018,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000000000018,2.8,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-03-13,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-03-14,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,10.8,4.440892098500626e-16
1987-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-03-23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-03-24,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,2.4,0.0,0.0,0.0,4.440892098500626e-16
1987-03-25,4.6,9.1,1.7,2.8,5.5,5.200000000000001,7.4,2.8,2.8,8.0,3.7,5.6,2.4,13.0
1987-03-26,1.6,0.0,1.0,16.3,1.4,0.20000000000000018,2.4,0.0,0.6000000000000001,1.0,0.6000000000000001,0.3999999999999999,1.8,4.440892098500626e-16
1987-03-27,0.8,0.20000000000000018,0.20000000000000018,0.3999999999999999,1.0,0.0,0.0,0.20000000000000018,-4.440892098500626e-16,0.0,0.3999999999999999,0.2999999999999998,0.3999999999999999,4.440892098500626e-16
