UnderlyingSymbol,UnderlyingPrice,Flags,OptionSymbol,Type,Expiration, DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest,IVMean,IVBid,IVAsk,Delta,Gamma,Theta,Vega,AKA
SPX,2016.52,*,SPX160115C00300000,call,January-15-16,January-05-16,300,1748.7,1715.7,1719.5,0,23,23,4.747,0,5.398,0.9981,0,-0.503,0.0198,SPX160115C00300000
SPX,2016.52,*,SPX160115P00300000,put,January-15-16,January-05-16,300,0.05,0,0.05,0,1005,1005,3.4145,0,3.5852,-0.0001,0,-0.0198,0.0011,SPX160115P00300000
SPX,2016.52,*,SPX160115C00400000,call,January-15-16,January-05-16,400,0,1615.7,1619.5,0,0,0,4.0292,0,4.5821,0.9977,0,-0.5022,0.0233,SPX160115C00400000
SPX,2016.52,*,SPX160115P00400000,put,January-15-16,January-05-16,400,0.05,0,0.05,0,3846,3846,2.9077,0,3.0461,-0.0001,0,-0.0204,0.0013,SPX160115P00400000
SPX,2016.52,*,SPX160115C00500000,call,January-15-16,January-05-16,500,1551.7,1515.5,1519.5,0,2281,2281,3.4498,0,3.9631,0.9975,0,-0.4668,0.0253,SPX160115C00500000
SPX,2016.52,*,SPX160115P00500000,put,January-15-16,January-05-16,500,0.05,0,0.05,0,25222,25222,2.5042,0,2.6317,-0.0001,0,-0.0196,0.0015,SPX160115P00500000
SPX,2016.52,*,SPX160115C00600000,call,January-15-16,January-05-16,600,1425.5,1415.5,1419.5,0,15,15,3.0085,0,3.4634,0.9971,0,-0.4594,0.0285,SPX160115C00600000
SPX,2016.52,*,SPX160115P00600000,put,January-15-16,January-05-16,600,0.05,0,0.05,0,2161,2161,2.1711,0,2.2951,-0.0001,0,-0.0181,0.0016,SPX160115P00600000
SPX,2016.52,*,SPX160115C00700000,call,January-15-16,January-05-16,700,1249.4,1315.8,1319.7,0,14,14,2.6751,0,3.0732,0.9964,0,-0.4983,0.0348,SPX160115C00700000
SPX,2016.52,*,SPX160115P00700000,put,January-15-16,January-05-16,700,0.05,0,0.05,0,2589,2589,1.9085,0,2.0115,-0.0001,0,-0.0188,0.0018,SPX160115P00700000
SPX,2016.52,*,SPX160115C00750000,call,January-15-16,January-05-16,750,1329.1,1265.8,1269.7,0,171,171,2.5387,0,2.885,0.9958,0,-0.5374,0.0395,SPX160115C00750000
SPX,2016.52,*,SPX160115P00750000,put,January-15-16,January-05-16,750,0.05,0,0.05,0,2199,2199,1.7913,0,1.8847,-0.0002,0,-0.0192,0.002,SPX160115P00750000
SPX,2016.52,*,SPX160115C00800000,call,January-15-16,January-05-16,800,1270,1215.8,1219.7,0,225,225,2.3979,0,2.7095,0.9954,0,-0.5586,0.0435,SPX160115C00800000
SPX,2016.52,*,SPX160115P00800000,put,January-15-16,January-05-16,800,0.05,0,0.05,0,1897,1897,1.6794,0,1.7663,-0.0002,0,-0.0193,0.0021,SPX160115P00800000
SPX,2016.52,*,SPX160115C00850000,call,January-15-16,January-05-16,850,0,1165.8,1169.8,0,0,0,2.2389,0,2.5568,0.9952,0,-0.5364,0.0447,SPX160115C00850000
SPX,2016.52,*,SPX160115P00850000,put,January-15-16,January-05-16,850,0.05,0,0.05,0,1712,1712,1.5738,0,1.6549,-0.0002,0,-0.0193,0.0023,SPX160115P00850000
SPX,2016.52,*,SPX160115C00900000,call,January-15-16,January-05-16,900,1111.95,1115.6,1119.6,0,1,1,2.0867,0,2.3783,0.9951,0,-0.5097,0.0456,SPX160115C00900000
SPX,2016.52,*,SPX160115P00900000,put,January-15-16,January-05-16,900,0.05,0,0.05,0,22965,22965,1.4737,0,1.55,-0.0002,0,-0.0192,0.0024,SPX160115P00900000
SPX,2016.52,*,SPX160115C00925000,call,January-15-16,January-05-16,925,0,1090.6,1094.6,0,0,0,2.0118,0,2.3044,0.9951,0,-0.4928,0.0457,SPX160115C00925000
SPX,2016.52,*,SPX160115P00925000,put,January-15-16,January-05-16,925,0.05,0,0.05,0,2388,2388,1.4258,0,1.4997,-0.0002,0,-0.0192,0.0025,SPX160115P00925000
SPX,2016.52,*,SPX160115C00950000,call,January-15-16,January-05-16,950,0,1065.6,1069.6,0,0,0,1.9378,0,2.2321,0.9951,0,-0.4741,0.0457,SPX160115C00950000
SPX,2016.52,*,SPX160115P00950000,put,January-15-16,January-05-16,950,0.05,0,0.05,0,6573,6573,1.3791,0,1.4506,-0.0002,0,-0.0192,0.0026,SPX160115P00950000
SPX,2016.52,*,SPX160115C00975000,call,January-15-16,January-05-16,975,0,1040.6,1044.6,0,0,0,1.8805,0,2.1618,0.9949,0,-0.4806,0.0477,SPX160115C00975000
SPX,2016.52,*,SPX160115P00975000,put,January-15-16,January-05-16,975,0.05,0,0.05,0,1343,1343,1.3336,0,1.4029,-0.0002,0,-0.0191,0.0027,SPX160115P00975000
SPX,2016.52,*,SPX160115C01000000,call,January-15-16,January-05-16,1000,1011.75,1015.6,1019.6,400,42291,44291,1.8199,0,2.0934,0.9947,0,-0.4788,0.0491,SPX160115C01000000
SPX,2016.52,*,SPX160115P01000000,put,January-15-16,January-05-16,1000,0.05,0,0.05,405,50963,52958,1.2892,0,1.3563,-0.0002,0,-0.0191,0.0028,SPX160115P01000000
SPX,2016.52,*,SPX160115C01025000,call,January-15-16,January-05-16,1025,0,990.6,994.6,0,0,0,1.7654,0,2.027,0.9944,0,-0.4856,0.0513,SPX160115C01025000
SPX,2016.52,*,SPX160115P01025000,put,January-15-16,January-05-16,1025,0.1,0,0.05,0,6700,6700,1.2458,0,1.3109,-0.0002,0,-0.019,0.0029,SPX160115P01025000
SPX,2016.52,*,SPX160115C01050000,call,January-15-16,January-05-16,1050,0,965.6,969.8,0,0,0,1.7143,0,1.9797,0.9941,0,-0.4966,0.0541,SPX160115C01050000
SPX,2016.52,*,SPX160115P01050000,put,January-15-16,January-05-16,1050,0.1,0,0.05,0,5058,5058,1.2437,0,1.2665,-0.0004,0,-0.0283,0.0042,SPX160115P01050000
SPX,2016.52,*,SPX160115C01075000,call,January-15-16,January-05-16,1075,0,940.6,944.8,0,0,0,1.67,0,1.9154,0.9936,0,-0.5196,0.0581,SPX160115C01075000
SPX,2016.52,*,SPX160115P01075000,put,January-15-16,January-05-16,1075,0.1,0,0.25,0,3065,3065,1.2354,0,1.4048,-0.0005,0,-0.0389,0.0059,SPX160115P01075000
SPX,2016.52,*,SPX160115C01100000,call,January-15-16,January-05-16,1100,948.06,915.9,919.8,0,20,20,1.6265,0,1.8525,0.9931,0,-0.5435,0.0624,SPX160115C01100000
SPX,2016.52,*,SPX160115P01100000,put,January-15-16,January-05-16,1100,0.05,0,0.1,0,3111,3111,1.1972,0,1.2489,-0.0006,0,-0.0404,0.0063,SPX160115P01100000
