Unnamed: 0,Buttonville A,Hamilton A,Kingsville Moe,North Bay A,Orillia,Oshawa WPCP,Ottawa CDA,Sault St Marie A,Sudbury A,Trent U,Wiarton A,Windsor A
1987-05-01,7.5,7.3,9.3,5.0,8.3,8.5,7.3,3.8,5.2,8.0,8.0,10.1
1987-05-02,7.7,8.8,11.5,2.5999999999999996,9.5,5.8,5.4,3.0000000000000004,3.6,6.5,3.9000000000000004,12.4
1987-05-03,6.2,7.2,9.5,4.1,9.3,9.8,6.0,5.4,4.3,7.3,4.6,8.4
1987-05-04,7.4,7.1,9.5,6.8,10.0,7.5,8.1,6.4,7.1,8.0,6.5,9.5
1987-05-05,10.3,10.9,10.8,10.6,10.5,11.0,10.5,9.2,11.9,11.3,7.7,10.3
1987-05-06,13.8,12.8,11.0,12.7,11.5,12.8,14.4,9.2,13.3,15.0,9.9,15.2
1987-05-07,7.8,11.6,13.8,6.0,10.0,12.8,10.3,5.9,6.7,11.3,6.8,12.6
1987-05-08,8.4,9.5,14.5,7.1,9.8,8.0,10.3,8.0,8.9,9.0,7.1,13.0
1987-05-09,17.8,15.6,17.3,14.7,17.8,13.5,15.8,16.2,17.2,16.3,16.8,18.2
1987-05-10,18.0,19.6,19.5,8.9,18.0,17.0,14.9,11.6,8.9,18.0,12.0,23.4
1987-05-11,18.4,19.6,20.3,12.0,16.3,16.5,11.7,12.8,12.8,16.0,15.0,20.5
1987-05-12,9.6,11.7,14.3,5.6,10.0,12.5,10.4,6.1,7.1,12.3,6.0,10.3
1987-05-13,10.2,9.4,14.3,10.8,10.5,11.0,10.1,12.6,10.8,10.0,9.3,13.7
1987-05-14,15.8,17.3,13.3,13.600000000000001,15.5,14.0,15.8,11.8,10.6,15.0,17.1,19.9
1987-05-15,9.5,11.0,14.0,5.5,11.3,13.0,8.6,7.8,7.1,12.0,8.4,12.4
1987-05-16,11.9,11.8,15.0,10.0,12.0,10.0,8.3,14.4,11.7,9.8,12.1,14.5
1987-05-17,19.5,18.8,18.8,9.3,17.3,15.5,12.4,14.3,9.6,18.0,13.4,21.5
1987-05-18,11.8,11.8,15.8,8.0,12.5,13.5,12.8,6.8,7.1,11.8,9.0,16.3
1987-05-19,12.7,10.8,15.0,9.8,12.8,13.0,11.3,7.1,9.6,11.5,11.9,12.4
1987-05-20,12.3,12.8,13.5,13.3,13.3,12.3,12.9,11.0,11.8,12.3,13.9,17.3
1987-05-21,16.9,17.9,19.8,14.0,16.3,14.0,15.7,12.6,13.1,15.3,16.9,21.6
1987-05-22,20.5,20.9,19.8,11.4,21.0,16.5,18.6,9.6,9.7,19.5,16.1,22.8
1987-05-23,12.2,12.2,13.5,7.1,11.0,13.8,8.4,4.8,4.7,12.0,8.3,13.1
1987-05-24,9.5,8.8,14.0,8.8,10.3,10.8,9.9,8.4,10.6,11.0,8.6,11.5
1987-05-25,14.5,10.8,16.3,13.5,12.0,12.5,12.3,9.4,13.8,12.3,11.5,13.8
1987-05-26,13.3,14.2,18.5,11.5,13.3,15.5,13.7,11.4,11.8,13.5,14.1,21.6
1987-05-27,19.7,22.7,22.8,16.8,21.5,17.0,18.1,19.1,18.1,19.5,20.0,24.0
1987-05-28,24.2,24.3,23.5,22.4,26.0,20.0,22.9,21.7,22.9,23.0,23.4,26.5
1987-05-29,25.7,25.2,25.0,21.7,25.3,21.5,24.2,21.5,22.9,23.5,21.8,26.800000000000004
1987-05-30,25.0,24.6,26.3,21.4,26.3,21.8,25.5,20.9,22.6,24.8,23.0,26.5
1987-05-31,21.9,21.7,21.8,18.9,22.0,19.3,20.6,20.0,19.9,21.3,20.7,24.1
1987-06-01,21.7,22.8,21.8,20.7,21.0,19.5,21.7,19.0,19.7,22.0,20.8,21.1
1987-06-02,21.3,22.1,21.8,21.1,19.3,18.5,22.6,17.7,20.1,22.0,21.6,22.7
1987-06-03,20.5,21.4,21.8,17.3,21.5,20.3,20.7,12.5,17.0,21.0,16.9,22.1
1987-06-04,15.4,15.0,17.0,13.5,14.5,18.5,17.7,11.4,13.4,16.3,11.1,16.6
1987-06-05,13.1,14.9,18.3,11.0,13.5,14.0,15.9,9.7,12.6,12.8,11.5,20.3
1987-06-06,12.9,13.7,17.0,11.7,15.0,13.3,12.9,10.9,13.4,12.3,11.9,17.0
1987-06-07,15.9,21.2,19.8,14.5,15.5,14.8,11.1,17.5,14.7,15.8,19.9,24.5
1987-06-08,19.8,19.4,24.0,12.6,20.0,20.5,18.1,12.4,14.3,20.0,16.0,21.3
1987-06-09,9.9,11.6,16.0,8.4,13.0,14.5,13.6,10.1,9.4,12.5,10.9,14.5
1987-06-10,13.1,13.4,14.8,11.5,14.0,14.0,14.8,12.5,13.1,14.5,10.8,14.2
1987-06-11,13.9,14.0,19.0,12.6,13.0,12.5,17.1,11.6,12.4,13.0,12.8,18.5
1987-06-12,22.1,22.9,22.0,15.5,19.5,20.5,15.1,16.5,16.9,19.3,17.7,25.0
1987-06-13,20.1,20.0,23.0,15.6,19.5,19.0,18.7,16.7,17.0,20.8,16.1,24.4
1987-06-14,23.1,23.8,23.5,19.7,23.5,20.5,19.3,18.0,21.7,22.8,21.5,25.9
1987-06-15,20.6,23.1,23.0,19.4,21.8,21.8,22.5,17.2,20.3,23.0,18.7,23.2
1987-06-16,20.7,21.6,20.5,16.2,19.5,22.3,15.9,16.4,17.9,19.3,18.8,24.1
1987-06-17,17.2,18.7,21.8,15.8,18.8,16.8,16.2,16.5,17.3,18.0,16.0,22.0
1987-06-18,18.1,20.4,22.3,19.3,19.0,17.8,18.8,21.7,20.3,18.3,19.1,23.2
1987-06-19,20.1,23.7,23.0,20.2,23.5,21.3,22.1,19.4,21.0,22.0,22.5,25.6
1987-06-20,19.1,19.5,23.5,16.6,20.0,20.0,18.1,18.6,17.100000000000005,20.3,18.1,23.3
1987-06-21,19.1,19.0,23.3,19.7,20.0,18.8,18.8,20.7,19.6,19.8,19.2,23.4
1987-06-22,19.1,17.6,22.8,19.8,21.0,19.5,19.6,21.1,22.5,19.5,17.1,22.9
1987-06-23,23.1,22.3,23.0,22.6,23.0,21.3,23.4,20.8,23.5,24.0,19.3,23.1
1987-06-24,24.0,23.0,21.559756728778467,24.0,24.8,22.3,25.5,21.6,24.8,23.3,20.5,24.0
1987-06-25,23.3,23.2,23.3,23.5,23.3,21.5,23.0,18.4,23.6,22.3,22.9,23.5
1987-06-26,20.8,20.4,21.8,19.1,21.3,22.5,19.6,15.5,18.4,21.0,18.7,22.1
1987-06-27,17.2,17.5,20.0,16.8,18.0,18.3,20.4,13.0,15.3,18.0,15.899999999999999,18.7
1987-06-28,16.9,16.3,18.8,14.7,16.8,17.0,17.6,14.8,15.4,16.8,16.5,19.7
1987-06-29,19.4,20.6,19.8,15.0,19.3,19.5,16.2,13.8,15.7,18.3,20.2,22.1
1987-06-30,20.2,20.2,18.8,15.8,18.8,21.8,21.5,12.0,14.2,20.5,16.3,20.2
